buildings,production_method_groups,production_methods,type,required_construction,advancedores,aeroplanes,ai_systems,alloys,aluminium,ammunition,androids,artillery,automobiles,batteries,bauxite,business_data,civil_planes,clippers,clothes,coal,coffee,commonores,computer,copper,copperwires,cosmetics,dye,electricity,electroniccomponents,elgar_instruments,elgar_music,engines,explosives,fabric,fertilizer,fine_art,fish,fruit,furniture,gas,glass,global_electricity,gold,good_uranium,grain,groceries,hardwood,heavy_fuel,homeappliances,interactive_entertainment,iron,ironclads,lead,light_fuel,liquor,lubricant,luxury_clothes,luxury_furniture,manowars,manzoni_prints,meat,merchant_marine,oil,on_demand_goods,opium,organized_data,paper,pharmaceuticals,plastics,porcelain,processors,radios,rare_earths,raw_data,robotics,rubber,services,silk,small_arms,softwares,space_assets,steamers,steel,sugar,sulfur,tanks,tea,telecommunications,telephones,televisions,tobacco,tools,transportation,water,wine,wood
building_advancedores_mine,pmg_mining_equipment_building_advancedores_mine,pm_picks_and_shovels_building_advancedores_mine,upgrade,construction_cost_very_high,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,
building_advancedores_mine,pmg_mining_equipment_building_advancedores_mine,pm_diesel_pump_building_advancedores_mine,upgrade,construction_cost_very_high,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,,
building_advancedores_mine,pmg_mining_equipment_building_advancedores_mine,pm_electric_fueled_pump_building_advancedores_mine,upgrade,construction_cost_very_high,45,,,,,,,,,,,,,,,,,,,,,,,-5,-2,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,,
building_advancedores_mine,pmg_mining_equipment_building_advancedores_mine,pm_heavy_machineries_building_advancedores_mine,upgrade,construction_cost_very_high,55,,,,,,,,,,,,,,,,,,,,,,,-10,-3,,,-5,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,-7,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_mining_equipment_building_advancedores_mine,pm_autonomous_and_remote_ops_building_advancedores_mine,upgrade,construction_cost_very_high,70,,,,,,,,,,,,,,,,,,,,,,,-10,,,,-5,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,-2,,,,-12,,,,,,,,,,,,,-10,,,,,,,,
building_advancedores_mine,pmg_explosives_building_advancedores_mine,pm_no_explosives,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_explosives_building_advancedores_mine,pm_nitroglycerin_building_advancedores_mine,upgrade,construction_cost_very_high,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_explosives_building_advancedores_mine,pm_dynamite_building_advancedores_mine,upgrade,construction_cost_very_high,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_explosives_building_advancedores_mine,pm_high_precision_blasting_building_advancedores_mine,upgrade,construction_cost_very_high,20,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,
building_advancedores_mine,pmg_steam_automation_building_advancedores_mine,pm_no_steam_automation,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
