buildings,production_method_groups,production_methods,type,required_construction,ammunition,small_arms,artillery,tanks,aeroplanes,manowars,ironclads,grain,fish,fabric,wood,groceries,clothes,furniture,paper,services,transportation,electricity,merchant_marine,clippers,steamers,silk,dye,sulfur,coal,iron,lead,hardwood,rubber,oil,engines,steel,glass,fertilizer,tools,explosives,porcelain,meat,fruit,liquor,wine,tea,coffee,sugar,tobacco,opium,automobiles,telephones,radios,luxury_clothes,luxury_furniture,gold,fine_art,elgar_music,manzoni_prints,elgar_instruments,good_uranium,bauxite,alloys,copper,commonores,advancedores,rare_earths,aluminium,plastics,light_fuel,lubricant,heavy_fuel,copperwires,batteries,electroniccomponents,processors,homeappliances,televisions,computer,robotics,water,pharmaceuticals,gas,civil_planes,space_assets,raw_data,organized_data,business_data,telecommunications,softwares,interactive_entertainment,cosmetics,on_demand_goods,ai_systems,androids,global_electricity
building_advancedores_mine,pmg_mining_equipment_building_advancedores_mine,pm_picks_and_shovels_building_advancedores_mine,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_mining_equipment_building_advancedores_mine,pm_diesel_pump_building_advancedores_mine,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_mining_equipment_building_advancedores_mine,pm_electric_fueled_pump_building_advancedores_mine,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,-5,,,,,-2,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_mining_equipment_building_advancedores_mine,pm_heavy_machineries_building_advancedores_mine,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,-5,,,,,-3,,,,,-7,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_mining_equipment_building_advancedores_mine,pm_autonomous_and_remote_ops_building_advancedores_mine,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,-5,,,,,,-2,,,,-12,,,,,,,,,-10,,,,,,,
building_advancedores_mine,pmg_explosives_building_advancedores_mine,pm_no_explosives,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_explosives_building_advancedores_mine,pm_nitroglycerin_building_advancedores_mine,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_explosives_building_advancedores_mine,pm_dynamite_building_advancedores_mine,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_explosives_building_advancedores_mine,pm_high_precision_blasting_building_advancedores_mine,base,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,-2,,,,,,,,,,,,,,,,-5,,,,,,,
building_advancedores_mine,pmg_steam_automation_building_advancedores_mine,pm_no_steam_automation,automation,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
